country,wood_pulp_capacity_2020,wood_pulp_market_pulps_2020,paper_paperboard_capacity_2020,wood_pulp_capacity_2021,wood_pulp_market_pulps_2021,paper_paperboard_capacity_2021,wood_pulp_capacity_2022,wood_pulp_market_pulps_2022,paper_paperboard_capacity_2022,wood_pulp_capacity_2023,wood_pulp_market_pulps_2023,paper_paperboard_capacity_2023
AUS,2988.0,24.0,3661.0,2903.0,24.0,3541.0,2903.0,24.0,3549.0,2903.0,24.0,3549.0
AUT,1826.0,500.0,5590.0,1830.0,510.0,5703.0,1840.0,520.0,5795.0,1840.0,520.0,5965.0
BLR,440.0,400.0,460.0,590.0,400.0,660.0,590.0,400.0,660.0,590.0,400.0,680.0
BEL,352.0,,1628.0,352.0,,1854.0,352.0,,1872.0,352.0,,1872.0
BRA,23850.0,19195.0,13460.0,24300.0,19195.0,14050.0,24770.0,19195.0,14530.0,26770.0,21195.0,14530.0
CAN,,9550.0,8675.0,,9550.0,8200.0,,9700.0,8550.0,,9650.0,8550.0
CHL,5490.0,5180.0,1121.0,5517.0,5159.0,1121.0,6452.0,6094.0,1121.0,6787.0,6429.0,1121.0
COL,311.0,0.0,1443.0,311.0,0.0,1481.0,311.0,0.0,1481.0,311.0,311.0,1482.0
CZE,610.0,50.0,995.0,610.0,50.0,995.0,610.0,50.0,995.0,610.0,50.0,995.0
FIN,12800.0,5100.0,10074.0,12800.0,5100.0,10074.0,12800.0,5100.0,10074.0,12800.0,5100.0,10074.0
FRA,2222.0,,8412.0,2233.0,,8204.0,2244.0,,8246.0,2255.0,,8288.0
DEU,2712.0,,23693.0,2683.0,,24538.0,2794.0,,24885.0,2808.0,,25235.0
HUN,,,850.0,,,850.0,,,850.0,,,850.0
ITA,,,9945.0,,,10435.0,,,10685.0,,,10835.0
JPN,15922.0,,28866.0,15922.0,,28535.0,15922.0,,28222.0,15922.0,,28131.0
MEX,471.0,,7034.0,471.0,,7603.0,471.0,,7785.0,471.0,,7972.0
NLD,,,3311.0,,,3311.0,,,3311.0,,,3311.0
NZL,1760.6680000000001,0.0,799.8340000000001,1760.6680000000001,0.0,799.8340000000001,1760.6680000000001,0.0,799.8340000000001,1760.6680000000001,0.0,799.8340000000001
PHL,,,1303.0,,,1517.0,,,1649.0,,,1649.0
PRT,2802.02,1550.0,2358.0,2802.02,1550.0,2358.0,2802.02,1550.0,2358.0,2802.02,1550.0,2358.0
KOR,515.0,200.0,11431.0,515.0,200.0,11431.0,515.0,200.0,11431.0,515.0,200.0,11431.0
RUS,10280.0,3200.0,10295.2,10566.0,3420.0,10535.1,10865.0,3572.0,10772.3,11170.0,3800.0,11619.8
ESP,1913.0,1233.0,7422.0,1913.0,1233.0,7500.0,2213.0,1533.0,7650.0,2213.0,1533.0,7650.0
SWE,13593.0,4931.0,11351.0,13250.0,5164.0,10301.0,12833.0,5204.0,9824.0,13049.0,5148.0,9966.0
THA,954.0,191.0,5888.0,954.0,191.0,5888.0,954.0,191.0,5888.0,954.0,191.0,5888.0
GBR,300.0,,4238.0,300.0,,4190.0,300.0,,4270.0,300.0,,4270.0
USA,50701.0,9574.0,75008.0,49203.0,9521.0,74773.0,49203.0,9521.0,74773.0,49203.0,9521.0,74773.0
URY,2800.0,2700.0,83.0,2800.0,2700.0,83.0,3300.0,3200.0,83.0,4600.0,4500.0,83.0
