country,recovered_paper_totals_2021,mixed_grades_2021,corrugated_solid_containers_2021,newspapers_2021,wood_free_2021
ARG,1032.0,,,,
AUS,1732.0,52.0,1084.0,15.0,581.0
AUT,2545.0,317.0,1343.0,554.0,331.0
BEL,1179.0,40.0,540.0,567.0,32.0
BRA,4890.0,192.0,3990.0,95.0,613.0
CHL,226.0,10.4,212.68,2.75,0.0
CHN,65445.0,,,,
COL,833.0,6.994,623.231,25.461,176.897
CZE,236.0,59.0,163.0,7.0,7.0
DNK,53.0,,,,
FRA,5249.0,465.0,3801.0,450.0,534.0
DEU,18294.0,4071.0,9152.0,3199.0,1872.0
ITA,6050.0,2085.0,3190.0,188.0,587.0
JPN,16044.0,468.0,9292.0,4703.0,1580.0
MEX,6921.0,113.0,5214.0,91.0,1502.0
NLD,2656.0,856.0,1468.0,252.0,80.0
NZL,185.19751,0.0,138.34411,0.0,46.8534
PRT,252.0,0.0,0.0,0.0,0.0
KOR,9266.0,,,,
ESP,5355.0,416.0,4244.0,266.0,429.0
THA,5717.0,1486.0,3888.0,229.0,114.0
USA,29581.0,3635.0,22048.0,839.0,3060.0
URY,77.0,77.0,,,
